lot_number,product_id,batch_date,quantity,unit,temperature_c,pressure_bar,inspector_id,facility_code,compliance_status,notes
LOT034,PROD-A,2026-02-17,128,kg,70.2,4.1,INSP-03,FAC-01,PASS,Normal run
LOT035,PROD-B,2026-02-18,158,kg,72.0,4.3,INSP-02,FAC-02,PASS,Normal run
LOT036,PROD-C,2026-02-19,142,kg,68.6,4.0,INSP-01,FAC-03,PASS,Normal run
LOT037,PROD-A,2026-02-20,102,kg,71.0,4.2,INSP-03,FAC-01,PASS,Normal run
LOT038,PROD-B,2026-02-21,182,kg,73.7,4.1,INSP-02,FAC-02,PASS,Normal run
LOT039,PROD-C,2026-02-22,156,kg,70.5,4.3,INSP-01,FAC-03,PASS,Normal run
LOT040,PROD-A,2026-02-23,126,kg,72.2,4.0,INSP-03,FAC-01,PASS,Normal run
LOT041,PROD-B,2026-02-24,176,kg,69.4,4.2,INSP-02,FAC-02,PASS,Normal run
LOT042,PROD-C,2026-02-25,146,kg,71.7,4.1,INSP-01,FAC-03,PASS,Normal run
LOT043,PROD-A,2026-02-26,116,kg,70.0,4.3,INSP-03,FAC-01,PASS,Normal run
LOT044,PROD-B,2026-02-27,166,kg,73.3,4.0,INSP-02,FAC-02,PASS,Normal run
LOT045,PROD-C,2026-02-28,136,kg,68.4,4.2,INSP-01,FAC-03,PASS,Normal run
LOT046,PROD-A,2026-03-01,196,kg,72.7,4.1,INSP-03,FAC-01,PASS,Normal run
LOT047,PROD-B,2026-03-02,173,kg,71.3,4.3,INSP-02,FAC-02,PASS,Normal run
LOT048,PROD-C,2026-03-03,143,kg,69.9,4.0,INSP-01,FAC-03,PASS,Normal run
LOT049,PROD-A,2026-03-04,113,kg,72.9,4.2,INSP-03,FAC-01,PASS,Normal run
LOT050,PROD-B,2026-03-05,163,kg,70.3,4.1,INSP-02,FAC-02,PASS,Normal run
LOT051,PROD-C,2026-03-06,133,kg,71.1,4.3,INSP-01,FAC-03,PASS,Normal run
LOT052,PROD-A,2026-03-07,103,kg,68.7,4.0,INSP-03,FAC-01,PASS,Normal run
LOT053,PROD-B,2026-03-08,183,kg,73.6,4.2,INSP-02,FAC-02,PASS,Normal run
LOT054,PROD-C,2026-03-09,153,kg,70.4,4.1,INSP-01,FAC-03,PASS,Normal run
LOT055,PROD-A,2026-03-10,123,kg,72.3,4.3,INSP-03,FAC-01,PASS,Normal run
LOT056,PROD-B,2026-03-11,173,kg,69.2,4.0,INSP-02,FAC-02,PASS,Normal run
LOT057,PROD-C,2026-03-12,143,kg,71.5,4.2,INSP-01,FAC-03,PASS,Normal run
LOT058,PROD-A,2026-03-13,113,kg,70.8,4.1,INSP-03,FAC-01,PASS,Normal run
LOT059,PROD-B,2026-03-14,163,kg,72.4,4.3,INSP-02,FAC-02,PASS,Normal run
LOT060,PROD-C,2026-03-15,133,kg,68.9,4.0,INSP-01,FAC-03,PASS,Normal run
LOT061,PROD-A,2026-03-16,193,kg,73.2,4.2,INSP-03,FAC-01,PASS,Normal run
LOT062,PROD-B,2026-03-17,167,kg,70.1,4.1,INSP-02,FAC-02,PASS,Normal run
LOT063,PROD-C,2026-03-18,137,kg,71.9,4.3,INSP-01,FAC-03,PASS,Normal run
LOT064,PROD-A,2026-03-19,107,kg,72.6,4.0,INSP-03,FAC-01,PASS,Normal run
LOT065,PROD-B,2026-03-20,157,kg,69.8,4.2,INSP-02,FAC-02,PASS,Normal run
LOT066,PROD-C,2026-03-21,127,kg,73.5,4.1,INSP-01,FAC-03,PASS,Normal run
LOT067,PROD-A,2026-03-22,177,kg,70.7,4.3,INSP-03,FAC-01,PASS,Normal run
LOT068,PROD-B,2026-03-23,147,kg,72.1,4.0,INSP-02,FAC-02,PASS,Normal run
LOT069,PROD-C,2026-03-24,117,kg,68.3,4.2,INSP-01,FAC-03,PASS,Normal run
LOT070,PROD-A,2026-03-25,167,kg,71.6,4.1,INSP-03,FAC-01,PASS,Normal run
LOT071,PROD-B,2026-03-26,137,kg,70.5,4.3,INSP-02,FAC-02,PASS,Normal run
LOT072,PROD-C,2026-03-27,197,kg,73.8,4.0,INSP-01,FAC-03,PASS,Normal run
LOT073,PROD-A,2026-03-28,122,kg,71.2,4.2,INSP-03,FAC-01,PASS,Normal run
LOT074,PROD-B,2026-03-29,172,kg,69.6,4.1,INSP-02,FAC-02,PASS,Normal run
LOT075,PROD-C,2026-03-30,142,kg,72.7,4.3,INSP-01,FAC-03,PASS,Normal run
LOT076,PROD-A,2026-03-31,112,kg,70.9,4.0,INSP-03,FAC-01,PASS,Normal run
LOT077,PROD-B,2026-04-01,162,kg,73.1,4.2,INSP-02,FAC-02,PASS,Normal run
LOT078,PROD-C,2026-04-02,132,kg,68.5,4.1,INSP-01,FAC-03,PASS,Normal run
LOT079,PROD-A,2026-04-03,182,kg,71.4,4.3,INSP-03,FAC-01,PASS,Normal run
LOT080,PROD-B,2026-04-04,152,kg,70.2,4.0,INSP-02,FAC-02,PASS,Normal run
LOT081,PROD-C,2026-04-05,122,kg,72.5,4.2,INSP-01,FAC-03,PASS,Normal run
LOT082,PROD-A,2026-04-06,192,kg,69.4,4.1,INSP-03,FAC-01,PASS,Normal run
LOT083,PROD-B,2026-04-07,162,kg,71.8,4.3,INSP-02,FAC-02,PASS,Normal run
LOT084,PROD-C,2026-04-08,132,kg,70.0,4.0,INSP-01,FAC-03,PASS,Normal run
LOT085,PROD-A,2026-04-09,102,kg,73.4,4.2,INSP-03,FAC-01,PASS,Normal run
LOT086,PROD-B,2026-04-10,172,kg,68.8,4.1,INSP-02,FAC-02,PASS,Normal run
LOT087,PROD-C,2026-04-11,142,kg,72.0,4.3,INSP-01,FAC-03,PASS,Normal run
LOT088,PROD-A,2026-04-12,112,kg,70.6,4.0,INSP-03,FAC-01,PASS,Normal run
LOT089,PROD-B,2026-04-13,182,kg,71.3,4.2,INSP-02,FAC-02,PASS,Normal run
LOT090,PROD-C,2026-04-14,152,kg,73.7,4.1,INSP-01,FAC-03,PASS,Normal run
LOT091,PROD-A,2026-04-15,122,kg,69.0,4.3,INSP-03,FAC-01,PASS,Normal run
LOT092,PROD-B,2026-04-16,162,kg,72.3,4.0,INSP-02,FAC-02,PASS,Normal run
LOT093,PROD-C,2026-04-17,132,kg,70.7,4.2,INSP-01,FAC-03,PASS,Normal run
LOT094,PROD-A,2026-04-18,102,kg,71.5,4.1,INSP-03,FAC-01,PASS,Normal run
LOT095,PROD-B,2026-04-19,172,kg,68.1,4.3,INSP-02,FAC-02,PASS,Normal run
LOT096,PROD-C,2026-04-20,142,kg,73.6,4.0,INSP-01,FAC-03,PASS,Normal run
LOT097,PROD-A,2026-04-21,112,kg,70.4,4.2,INSP-03,FAC-01,PASS,Normal run
LOT098,PROD-B,2026-04-22,182,kg,72.8,4.1,INSP-02,FAC-02,PASS,Normal run
LOT099,PROD-C,2026-04-23,152,kg,69.7,4.3,INSP-01,FAC-03,PASS,Normal run
LOT100,PROD-A,2026-04-24,122,kg,71.1,4.0,INSP-03,FAC-01,PASS,Normal run
LOT101,PROD-B,2026-04-25,162,kg,73.0,4.2,INSP-02,FAC-02,PASS,Normal run
LOT102,PROD-C,2026-04-26,132,kg,68.2,4.1,INSP-01,FAC-03,PASS,Normal run
LOT103,PROD-A,2026-04-27,182,kg,70.1,4.3,INSP-03,FAC-01,PASS,Normal run
LOT104,PROD-B,2026-04-28,152,kg,71.9,4.0,INSP-02,FAC-02,PASS,Normal run
LOT105,PROD-C,2026-04-29,122,kg,72.7,4.2,INSP-01,FAC-03,PASS,Normal run
LOT106,PROD-A,2026-04-30,192,kg,69.3,4.1,INSP-03,FAC-01,PASS,Normal run
LOT107,PROD-B,2026-05-01,162,kg,71.6,4.3,INSP-02,FAC-02,PASS,Normal run
LOT108,PROD-C,2026-05-02,132,kg,70.8,4.0,INSP-01,FAC-03,PASS,Normal run
LOT109,PROD-A,2026-05-03,102,kg,73.3,4.2,INSP-03,FAC-01,PASS,Normal run
LOT110,PROD-B,2026-05-04,172,kg,68.6,4.1,INSP-02,FAC-02,PASS,Normal run
LOT001,PROD-A,2026-01-15,100,kg,72.3,4.2,INSP-01,FAC-01,PASS,Normal run
LOT002,PROD-A,2026-01-16,150,kg,68.9,4.1,INSP-02,FAC-01,PASS,Normal run
LOT003,PROD-B,2026-01-17,200,kg,71.5,4.3,INSP-01,FAC-02,PASS,Normal run
LOT004,PROD-B,2026-01-18,180,kg,69.8,4.0,INSP-03,FAC-02,PASS,Normal run
LOT005,PROD-C,2026-01-19,120,kg,73.2,4.2,INSP-02,FAC-01,PASS,Normal run
LOT006,PROD-C,2026-01-20,130,kg,70.1,4.1,INSP-01,FAC-03,PASS,Normal run
LOT007,PROD-A,2026-01-21,110,kg,72.8,4.3,INSP-03,FAC-01,PASS,Normal run
LOT008,PROD-B,2026-01-22,160,kg,68.5,4.0,INSP-02,FAC-02,PASS,Normal run
LOT111,PROD-C,2026-05-05,145,kg,71.0,4.3,INSP-01,FAC-03,PASS,Normal run
LOT112,PROD-A,2026-05-06,115,kg,72.4,4.0,INSP-03,FAC-01,PASS,Normal run
LOT113,PROD-B,2026-05-07,185,kg,69.1,4.2,INSP-02,FAC-02,PASS,Normal run
LOT114,PROD-C,2026-05-08,155,kg,70.9,4.1,INSP-01,FAC-03,PASS,Normal run
LOT115,PROD-A,2026-05-09,125,kg,73.5,4.3,INSP-03,FAC-01,PASS,Normal run
LOT116,PROD-B,2026-05-10,175,kg,68.3,4.0,INSP-02,FAC-02,PASS,Normal run
LOT117,PROD-C,2026-05-11,145,kg,71.7,4.2,INSP-01,FAC-03,PASS,Normal run
LOT118,PROD-A,2026-05-12,115,kg,70.3,4.1,INSP-03,FAC-01,PASS,Normal run
LOT119,PROD-B,2026-05-13,165,kg,72.2,4.3,INSP-02,FAC-02,PASS,Normal run
LOT120,PROD-C,2026-05-14,135,kg,69.5,4.0,INSP-01,FAC-03,PASS,Normal run
LOT200,PROD-A,2026-01-15,100,kg,72.3,4.2,INSP-01,FAC-01,PASS,Near-dup test
LOT200,PROD-A,2026-01-15,101,kg,72.3,4.2,INSP-01,FAC-01,PASS,Near-dup test
LOT201,PROD-B,2026-02-10,200,kg,71.5,4.3,INSP-01,FAC-02,PASS,Near-dup test
LOT201,PROD-B,2026-02-10,202,kg,71.5,4.3,INSP-01,FAC-02,PASS,Near-dup test
LOT202,PROD-C,2026-03-05,150,kg,70.1,4.1,INSP-02,FAC-03,PASS,Near-dup test
LOT202,PROD-C,2026-03-05,148,kg,70.1,4.1,INSP-02,FAC-03,PASS,Near-dup test
LOT301,PROD-A,2026-04-01,120,kg,70.5,4.1,INSP-01,FAC-01,PASS,Unit conflict
LOT301,PROD-A,2026-04-02,264,lbs,70.5,4.1,INSP-01,FAC-01,PASS,Unit conflict
LOT302,PROD-B,2026-04-05,180,kg,72.0,4.2,INSP-02,FAC-02,PASS,Unit conflict
LOT302,PROD-B,2026-04-06,396,lbs,72.0,4.2,INSP-02,FAC-02,PASS,Unit conflict
LOT303,PROD-C,2026-04-10,130,kg,69.5,4.0,INSP-03,FAC-03,PASS,Unit conflict
LOT303,PROD-C,2026-04-11,286,lbs,69.5,4.0,INSP-03,FAC-03,PASS,Unit conflict
LOT304,PROD-A,2026-04-15,110,kg,71.8,4.1,INSP-01,FAC-01,PASS,Unit conflict
LOT304,PROD-A,2026-04-16,242,lbs,71.8,4.1,INSP-01,FAC-01,PASS,Unit conflict
LOT305,PROD-B,2026-04-20,160,kg,70.3,4.2,INSP-02,FAC-02,PASS,Unit conflict
LOT305,PROD-B,2026-04-21,352,lbs,70.3,4.2,INSP-02,FAC-02,PASS,Unit conflict
LOT400,PROD-A,2026-05-15,150,kg,112.4,4.5,INSP-01,FAC-01,PASS,Outlier temp
LOT401,PROD-B,2026-05-16,160,kg,7.2,3.1,INSP-02,FAC-02,PASS,Outlier temp low
LOT402,PROD-C,2026-05-17,140,kg,118.7,4.8,INSP-03,FAC-03,FAIL,Outlier temp high
LOT403,PROD-A,2026-05-18,130,kg,3.5,4.2,INSP-01,FAC-01,FAIL,Outlier temp very low
LOT404,PROD-B,2026-05-19,120,kg,125.1,5.2,INSP-02,FAC-02,FAIL,Outlier temp critical
LOT500,PROD-A,,150,kg,70.5,4.1,INSP-01,FAC-01,PASS,Missing batch date
LOT501,PROD-B,,160,kg,71.2,4.2,INSP-02,FAC-02,PASS,Missing batch date
LOT502,PROD-C,,140,kg,69.8,4.0,INSP-03,FAC-03,PASS,Missing batch date
LOT503,PROD-A,,130,kg,72.1,4.1,INSP-01,FAC-01,PASS,Missing batch date
LOT504,PROD-B,,120,kg,70.7,4.2,INSP-02,FAC-02,PASS,Missing batch date
LOT505,PROD-C,,110,kg,71.5,4.0,INSP-03,FAC-03,PASS,Missing batch date
LOT506,PROD-A,,100,kg,73.0,4.1,INSP-01,FAC-01,PASS,Missing batch date
LOT600,PROD-A,2026-05-20,150,kg,96.3,4.5,INSP-01,FAC-01,PASS,CRITICAL: high temp PASS
LOT601,PROD-B,2026-05-21,160,kg,98.7,4.6,INSP-02,FAC-02,PASS,CRITICAL: high temp PASS
LOT602,PROD-C,2026-05-22,140,kg,91.2,4.4,INSP-03,FAC-03,PASS,CRITICAL: high temp PASS
LOT603,PROD-A,2026-05-23,130,kg,102.5,4.7,INSP-01,FAC-01,PASS,CRITICAL: high temp PASS
